"VideoAnalysis: Time (s)","VideoAnalysis: X (m)","VideoAnalysis: Y (m)","VideoAnalysis: X Velocity (m/s)","VideoAnalysis: Y Velocity (m/s)"
3.431,27.2059054283,29.2311897697,7.8836470633,-6.28437715826
3.465,27.4242455192,29.0128496788,7.95670070274,-6.68303792127
3.498,27.7299216465,28.7508415697,8.25411457659,-6.31438357897
3.531,27.9919297555,28.6198375152,8.02948073305,-6.50516748024
3.565,28.2539378646,28.3578294061,8.17531440279,-7.80841680192
3.598,28.5159459737,28.0521532788,8.80218671796,-8.03138003337
3.631,28.8652901192,27.8338131879,8.68124219845,-8.3189714506
3.665,29.1272982283,27.4844690424,7.84943367009,-8.20952779601
3.698,29.3456383192,27.2661289515,8.10470319823,-7.77388487867
3.731,29.6513144465,27.0041208424,8.6019445535,-8.31308953478
3.765,29.9569905738,26.7421127333,8.26216284317,-9.675398954
3.798,30.2189986828,26.3491005697,7.50177446686,-10.8344480933
3.832,30.4373387738,25.956088406,7.36838933221,-10.4543192447
3.865,30.6993468829,25.6504122788,7.66471483321,-10.0720353064
3.898,30.9176869738,25.3447361515,8.6448521833,-11.0075038303
3.932,31.3106991374,24.9080559697,8.79068585305,-11.8417625897
3.965,31.5290392283,24.515043806,8.24917698973,-11.866749378
3.998,31.8347153556,24.1220316424,8.17286417172,-11.8094522093
4.032,32.0967234647,23.7726874969,7.66720998519,-12.896538062
4.065,32.3150635556,23.2486712787,8.06831318308,-13.7337003453
4.098,32.6207396829,22.8119910969,8.6743624941,-13.2859696213
4.132,32.9264158102,22.3753109151,8.58858671043,-13.2644320902
4.165,33.1884239193,21.9822987514,8.62497672558,-14.7129719471
4.199,33.4941000465,21.3709464969,8.85622408929,-15.7892890342
4.232,33.7997761738,20.8905982969,8.6527753396,-15.9910663056
4.265,34.0617842829,20.3229140605,8.53758515065,-16.3117885594
4.299,34.3674604102,19.7988978423,8.53758515065,-16.5673394928
4.332,34.6294685193,19.231213606,8.6527753396,-17.3468782812
4.365,34.9351446466,18.6198613514,8.8270758682,-17.3304476256
4.399,35.2408207738,18.0958451332,8.50119513549,-17.984385713
4.432,35.5028288829,17.4408248605,8.24972012429,-19.2458248114
4.465,35.764836992,16.7858045877,8.53034335659,-19.5294306431
4.499,36.0705131193,16.130784315,8.91446744313,-19.8233249704
4.532,36.3761892466,15.4757640423,8.87807742798,-20.4750864358
4.566,36.6818653738,14.7770757513,8.34848176139,-21.5603999547
4.599,36.9438734829,13.9910514241,7.66525796777,-21.7253821803
4.632,37.1622135739,13.3360311513,7.70360000034,-21.7643571892
4.666,37.4242216829,12.5936748422,8.68124219845,-23.250103805
4.699,37.7735658284,11.7639824968,8.94720364401,-24.3945922605
4.732,38.0355739375,10.9342901513,8.68341882039,-24.3779329167
4.766,38.3412500648,10.148265824,8.68341882039,-24.7423802865
4.799,38.6032581739,9.31857347855,9.01998367432,-26.181060562
4.832,38.9526023193,8.40154509672,8.96566774388,-27.2245174517
4.866,39.2146104284,7.48451671489,8.62497672558,-28.0127077833
4.899,39.5202865557,6.52382031487,8.62551986014,-28.7377924136
4.933,39.7822946648,5.56312391486,8.93564548478,-29.5050614642
4.966,40.0879707921,4.55875949666,10.082347438,-30.5717914854
4.999,40.4809829557,3.51072706029,11.0846191609,-31.2667421097
