"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.465653810E-1,8.353343964E0,4.977070987E-1,5.096712112E0,9.798088696E0
3.489437670E-1,8.394021988E0,4.761717021E-1,5.106283665E0,9.836690373E0
3.513222040E-1,8.396414757E0,4.570291340E-1,5.185246468E0,9.879040304E0
3.537006420E-1,8.391629219E0,4.546363056E-1,5.216353416E0,9.891232385E0
3.560790790E-1,8.360522270E0,4.474578202E-1,5.187639713E0,9.849373428E0
3.584574650E-1,8.346165657E0,4.307080805E-1,5.180460930E0,9.832658139E0
3.608359020E-1,8.370093346E0,4.426721931E-1,5.190032482E0,9.858542410E0
3.632143400E-1,8.348558426E0,4.187439680E-1,5.166104317E0,9.826617328E0
3.655927770E-1,8.300702095E0,4.067798555E-1,5.149354458E0,9.776654666E0
3.679712150E-1,8.276773453E0,4.378865361E-1,5.111069202E0,9.737543417E0
3.703496000E-1,8.315058708E0,4.713860750E-1,5.101497650E0,9.766661888E0
3.727280380E-1,8.338987350E0,4.809573591E-1,5.139782906E0,9.807517440E0
3.751064750E-1,8.317451477E0,4.761717021E-1,5.175675392E0,9.807872059E0
3.774849130E-1,8.276773453E0,4.498506486E-1,5.199603558E0,9.784846527E0
3.798632980E-1,8.245666504E0,4.546363056E-1,5.163711071E0,9.739693131E0
3.822417350E-1,8.269595146E0,4.450650215E-1,5.108676434E0,9.730511891E0
3.846201730E-1,8.334200859E0,4.618147612E-1,5.144568920E0,9.805037797E0
3.869986100E-1,8.374878883E0,5.048855543E-1,5.209175110E0,9.875677752E0
3.893770480E-1,8.312665939E0,4.833501875E-1,5.254638672E0,9.846078915E0
3.917554330E-1,8.307880402E0,4.307080805E-1,5.254638672E0,9.839594188E0
3.941338710E-1,8.307880402E0,4.139583111E-1,5.213960648E0,9.817210596E0
3.965123080E-1,8.331808090E0,4.067798555E-1,5.199603558E0,9.829566270E0
3.988907460E-1,8.327022552E0,3.900300860E-1,5.233103275E0,9.842601178E0
4.012691830E-1,8.300702095E0,3.900300860E-1,5.197210789E0,9.801264139E0
4.036475690E-1,8.329415321E0,4.187439680E-1,5.185246468E0,9.820452486E0
4.060260060E-1,8.322237015E0,4.163511395E-1,5.154139996E0,9.797863864E0
4.084044440E-1,8.307880402E0,4.689932466E-1,5.144568920E0,9.783016958E0
4.107828810E-1,8.267202377E0,5.048855543E-1,5.113461971E0,9.733911747E0
4.131612670E-1,8.283951759E0,4.809573591E-1,5.113461971E0,9.746931315E0
4.155397040E-1,8.283951759E0,4.689932466E-1,5.123033047E0,9.751373186E0
4.179181420E-1,8.274380684E0,4.905286431E-1,5.115854740E0,9.740532007E0
4.202965790E-1,8.291130066E0,5.312066078E-1,5.103890896E0,9.750626673E0
4.226750170E-1,8.298309326E0,5.216353536E-1,5.108676434E0,9.758719999E0
4.250534020E-1,8.331808090E0,4.881358147E-1,5.079962254E0,9.770533206E0
4.274318400E-1,8.331808090E0,4.378865361E-1,5.103890896E0,9.780617207E0
4.298102770E-1,8.384450912E0,4.283152521E-1,5.161318302E0,9.855033114E0
4.321887150E-1,8.398807526E0,4.570291340E-1,5.132604599E0,9.853551312E0
4.345671000E-1,8.396414757E0,4.474578202E-1,5.075176716E0,9.821273745E0
4.369455380E-1,8.396414757E0,4.426721931E-1,5.058426857E0,9.812411615E0
4.393239750E-1,8.391629219E0,4.570291340E-1,5.056034088E0,9.807741701E0
4.417024130E-1,8.422736168E0,3.924229145E-1,5.084748268E0,9.846377265E0
4.440808500E-1,8.449056625E0,3.924229145E-1,5.108676434E0,9.881251363E0
4.464592350E-1,8.444271088E0,4.402793646E-1,5.108676434E0,9.879176839E0
4.488376730E-1,8.437092781E0,4.307080805E-1,5.096712112E0,9.866433925E0
4.512161100E-1,8.410771370E0,4.187439680E-1,5.118247509E0,9.854586704E0
4.535945480E-1,8.415556908E0,3.876372576E-1,5.130211830E0,9.863616686E0
4.559729850E-1,8.413164139E0,3.996013701E-1,5.154139996E0,9.874521314E0
4.583513710E-1,8.384450912E0,3.900300860E-1,5.142175674E0,9.843429851E0
4.607298080E-1,8.341380119E0,3.972085714E-1,5.113461971E0,9.792031979E0
4.631082460E-1,8.341380119E0,3.996013701E-1,5.053641319E0,9.761024236E0
4.654866830E-1,8.353343964E0,3.948157430E-1,5.046463013E0,9.767344766E0
4.678650690E-1,8.372486115E0,4.043870270E-1,5.139782906E0,9.832569396E0
4.702435060E-1,8.353343964E0,4.331009090E-1,5.144568920E0,9.820006168E0
4.726219440E-1,8.338987350E0,4.139583111E-1,5.108676434E0,9.788189129E0
4.750003810E-1,8.329415321E0,3.852444589E-1,5.065605640E0,9.756430361E0
4.773787670E-1,8.355736732E0,3.900300860E-1,5.094319344E0,9.794005788E0
4.797572040E-1,8.348558426E0,4.139583111E-1,5.130211830E0,9.807592095E0
4.821356420E-1,8.334200859E0,4.187439680E-1,5.206781864E0,9.835894868E0
4.845140790E-1,8.334200859E0,4.043870270E-1,5.252245903E0,9.859438110E0
4.868925170E-1,8.336593628E0,3.948157430E-1,5.254638672E0,9.862347609E0
4.892709020E-1,8.346165657E0,4.019941986E-1,5.230710506E0,9.858012625E0
4.916493400E-1,8.329415321E0,4.354937077E-1,5.211567879E0,9.835103158E0
4.940277770E-1,8.319844246E0,4.474578202E-1,5.197210789E0,9.819930079E0
4.964062150E-1,8.315058708E0,4.594219327E-1,5.199603558E0,9.817695605E0
4.987846520E-1,8.319844246E0,4.426721931E-1,5.199603558E0,9.820979793E0
5.011630380E-1,8.327022552E0,4.618147612E-1,5.204389095E0,9.830475234E0
5.035414750E-1,8.310273170E0,4.546363056E-1,5.223531723E0,9.826119173E0
5.059199130E-1,8.324629784E0,4.402793646E-1,5.233103275E0,9.842696625E0
5.082983500E-1,8.350951195E0,4.426721931E-1,5.233103275E0,9.865075490E0
5.106767350E-1,8.338987350E0,4.546363056E-1,5.223531723E0,9.850415619E0
5.130551730E-1,8.331808090E0,4.498506486E-1,5.218746185E0,9.841580331E0
5.154336100E-1,8.322237015E0,4.331009090E-1,5.211567879E0,9.828918816E0
5.178120480E-1,8.312665939E0,4.402793646E-1,5.211567879E0,9.821135407E0
5.201904850E-1,8.293522835E0,4.259224236E-1,5.223531723E0,9.810668407E0
5.225688710E-1,8.286344528E0,4.402793646E-1,5.218746185E0,9.802686535E0
5.249473080E-1,8.264809608E0,4.450650215E-1,5.209175110E0,9.779604596E0
5.273257460E-1,8.262416840E0,4.474578202E-1,5.211567879E0,9.778966729E0
5.297041830E-1,8.252845764E0,4.378865361E-1,5.199603558E0,9.764071127E0
5.320825690E-1,8.240880966E0,4.402793646E-1,5.190032482E0,9.748969288E0
5.344610060E-1,8.245666504E0,4.163511395E-1,5.206781864E0,9.760888369E0
5.368394440E-1,8.231309891E0,4.283152521E-1,5.213960648E0,9.753117558E0
5.392178810E-1,8.231309891E0,4.331009090E-1,5.199603558E0,9.745661397E0
5.415963190E-1,8.248059273E0,4.235295951E-1,5.199603558E0,9.759392207E0
5.439747040E-1,8.226524353E0,4.163511395E-1,5.185246468E0,9.733233385E0
5.463531420E-1,8.224131584E0,4.283152521E-1,5.190032482E0,9.734281249E0
5.487315790E-1,8.233702660E0,4.474578202E-1,5.194818020E0,9.745779202E0
5.511100170E-1,8.236095428E0,4.235295951E-1,5.194818020E0,9.746731733E0
5.534884020E-1,8.228917122E0,4.235295951E-1,5.192425251E0,9.739390859E0
5.558668400E-1,8.248059273E0,4.139583111E-1,5.173282623E0,9.744983138E0
5.582452770E-1,8.269595146E0,4.283152521E-1,5.156532764E0,9.754972475E0
5.606237150E-1,8.298309326E0,4.235295951E-1,5.151747227E0,9.776595240E0
5.630021520E-1,8.307880402E0,3.972085714E-1,5.154139996E0,9.784876622E0
5.653805380E-1,8.312665939E0,4.043870270E-1,5.158925533E0,9.791754518E0
5.677589750E-1,8.317451477E0,3.852444589E-1,5.161318302E0,9.796306395E0
5.701374130E-1,8.331808090E0,3.804588020E-1,5.151747227E0,9.803278760E0
5.725158500E-1,8.350951195E0,4.235295951E-1,5.144568920E0,9.817553287E0
5.748942880E-1,8.329415321E0,4.331009090E-1,5.146961689E0,9.800915805E0
5.772726730E-1,8.310273170E0,3.996013701E-1,5.118247509E0,9.768151257E0
5.796511100E-1,8.319844246E0,4.331009090E-1,5.115854740E0,9.776469424E0
5.820295480E-1,8.343772888E0,4.211367965E-1,5.099104881E0,9.787582582E0
5.844079850E-1,8.355736732E0,3.876372576E-1,5.125426292E0,9.810127097E0
5.867863710E-1,8.374878883E0,3.852444589E-1,5.127819061E0,9.827590647E0
5.891648080E-1,8.365307808E0,4.043870270E-1,5.123033047E0,9.817707023E0
5.915432460E-1,8.338987350E0,4.331009090E-1,5.111069202E0,9.790266330E0
5.939216830E-1,8.307880402E0,4.666004181E-1,5.103890896E0,9.761572363E0
5.963001210E-1,8.291130066E0,4.761717021E-1,5.108676434E0,9.750289850E0
5.986785060E-1,8.336593628E0,5.192425251E-1,5.108676434E0,9.791168522E0
6.010569440E-1,8.334200859E0,5.383850932E-1,5.115854740E0,9.793913017E0
6.034353810E-1,8.295916557E0,5.288137794E-1,5.137390137E0,9.772136560E0
6.058138190E-1,8.281558990E0,5.024927258E-1,5.103890896E0,9.740966098E0
6.081922040E-1,8.298309326E0,4.929214716E-1,5.101497650E0,9.753470537E0
6.105706420E-1,8.295916557E0,4.929214716E-1,5.123033047E0,9.762718407E0
6.129490790E-1,8.291130066E0,4.594219327E-1,5.134997368E0,9.763303962E0
6.153275170E-1,8.327022552E0,4.235295951E-1,5.146961689E0,9.798463989E0
6.177059540E-1,8.341380119E0,3.708875179E-1,5.173282623E0,9.822374099E0
6.200843400E-1,8.377271652E0,3.565305769E-1,5.197210789E0,9.864927489E0
6.224627770E-1,8.410771370E0,3.852444589E-1,5.209175110E0,9.900757226E0
6.248412150E-1,8.420342445E0,3.828516304E-1,5.216353416E0,9.912572080E0
6.272196520E-1,8.405985832E0,3.732803464E-1,5.223531723E0,9.903798246E0
6.295980380E-1,8.432307243E0,3.421736360E-1,5.216353416E0,9.921251494E0
6.319764750E-1,8.434700012E0,3.732803464E-1,5.173282623E0,9.901835972E0
6.343549130E-1,8.405985832E0,4.139583111E-1,5.180460930E0,9.882769589E0
6.367333500E-1,8.377271652E0,4.187439680E-1,5.146961689E0,9.840997992E0
6.391117880E-1,8.367700577E0,4.139583111E-1,5.130211830E0,9.823891685E0
6.414901730E-1,8.379665375E0,3.924229145E-1,5.118247509E0,9.826965203E0
6.438686100E-1,8.367700577E0,3.828516304E-1,5.139782906E0,9.827632300E0
6.462470480E-1,8.355736732E0,3.972085714E-1,5.156532764E0,9.826797095E0
6.486254850E-1,8.379665375E0,3.972085714E-1,5.144568920E0,9.840892023E0
6.510039230E-1,8.377271652E0,4.043870270E-1,5.161318302E0,9.847914288E0
6.533823080E-1,8.415556908E0,4.019941986E-1,5.154139996E0,9.876657152E0
6.557607460E-1,8.417949677E0,4.163511395E-1,5.151747227E0,9.878042545E0
6.581391830E-1,8.408378601E0,4.450650215E-1,5.139782906E0,9.864901514E0
6.605176210E-1,8.441878319E0,4.546363056E-1,5.127819061E0,9.887695993E0
6.628960060E-1,8.456234932E0,4.498506486E-1,5.118247509E0,9.894783090E0
6.652744440E-1,8.420342445E0,4.737788737E-1,5.146961689E0,9.880174490E0
6.676528810E-1,8.422736168E0,4.689932466E-1,5.146961689E0,9.881986331E0
6.700313190E-1,8.458627701E0,5.000999570E-1,5.144568920E0,9.912874050E0
6.724097560E-1,8.441878319E0,5.192425251E-1,5.142175674E0,9.898327789E0
6.747881420E-1,8.422736168E0,5.072783828E-1,5.156532764E0,9.888864751E0
6.771665790E-1,8.403593063E0,5.264210105E-1,5.163711071E0,9.877317828E0
6.795450170E-1,8.389236450E0,5.240281820E-1,5.170889854E0,9.868738300E0
6.819234540E-1,8.422736168E0,5.312066078E-1,5.168497086E0,9.896364339E0
6.843018400E-1,8.398807526E0,5.647061467E-1,5.170889854E0,9.879117510E0
6.866802770E-1,8.370093346E0,5.838487148E-1,5.175675392E0,9.858344572E0
6.890587150E-1,8.365307808E0,5.766702294E-1,5.149354458E0,9.840059685E0
6.914371520E-1,8.370093346E0,5.862415433E-1,5.123033047E0,9.830951600E0
6.938155380E-1,8.372486115E0,6.005984545E-1,5.123033047E0,9.833855289E0
6.961939750E-1,8.343772888E0,6.149554253E-1,5.127819061E0,9.812810225E0
6.985724130E-1,8.338987350E0,5.958128572E-1,5.151747227E0,9.820091776E0
7.009508500E-1,8.346165657E0,5.694918036E-1,5.144568920E0,9.820865108E0
7.033292880E-1,8.346165657E0,5.168496966E-1,5.130211830E0,9.810437717E0
7.057076730E-1,8.367700577E0,5.096712112E-1,5.146961689E0,9.837143504E0
7.080861100E-1,8.370093346E0,5.144568682E-1,5.156532764E0,9.844437954E0
7.104645480E-1,8.384450912E0,5.048855543E-1,5.130211830E0,9.842408239E0
7.128429850E-1,8.408378601E0,4.833501875E-1,5.132604599E0,9.862965481E0
7.152214230E-1,8.413164139E0,4.546363056E-1,5.134997368E0,9.866925710E0
7.175998080E-1,8.437092781E0,4.331009090E-1,5.142175674E0,9.890100185E0
