"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.824059590E-1,-9.391828626E-2,2.673979402E-1,9.747162819E0,9.751282240E0
2.845756270E-1,-8.434699476E-2,2.626122832E-1,9.732806206E0,9.736713833E0
2.867337180E-1,-7.956135273E-2,2.721835673E-1,9.737591743E0,9.741719913E0
2.888879450E-1,-7.956135273E-2,2.578266263E-1,9.751948357E0,9.755680465E0
2.910252740E-1,-7.956135273E-2,2.721835673E-1,9.766305923E0,9.770421961E0
2.932057550E-1,-9.391828626E-2,2.578266263E-1,9.761520386E0,9.765376360E0
2.953645280E-1,-8.434699476E-2,2.482553422E-1,9.756733894E0,9.760256217E0
2.975272270E-1,-9.391828626E-2,2.673979402E-1,9.761520386E0,9.765633750E0
2.996785140E-1,-8.913264424E-2,2.721835673E-1,9.751948357E0,9.756153201E0
3.018348360E-1,-8.434699476E-2,2.530409992E-1,9.780662537E0,9.784298841E0
3.039940560E-1,-8.913264424E-2,2.626122832E-1,9.751948357E0,9.755890866E0
3.061536430E-1,-6.999006122E-2,2.626122832E-1,9.795019150E0,9.798788903E0
3.083219370E-1,-8.913264424E-2,2.721835673E-1,9.785448074E0,9.789638529E0
3.104616170E-1,-1.082752272E-1,2.626122832E-1,9.766305923E0,9.770436025E0
3.126162700E-1,-8.913264424E-2,2.578266263E-1,9.771091461E0,9.774898851E0
3.148010340E-1,-8.434699476E-2,2.530409992E-1,9.775876999E0,9.779515083E0
3.169380180E-1,-8.913264424E-2,2.578266263E-1,9.766305923E0,9.770115178E0
3.190982760E-1,-7.956135273E-2,2.578266263E-1,9.756733894E0,9.760464173E0
3.212438660E-1,-8.434699476E-2,2.578266263E-1,9.766305923E0,9.770072690E0
3.233919980E-1,-9.870393574E-2,2.482553422E-1,9.795019150E0,9.798661813E0
3.255455930E-1,-6.999006122E-2,2.626122832E-1,9.785448074E0,9.789221513E0
3.277240600E-1,-8.913264424E-2,2.578266263E-1,9.771091461E0,9.774898851E0
3.298828330E-1,-9.870393574E-2,2.578266263E-1,9.775876999E0,9.779774442E0
3.320330300E-1,-8.434699476E-2,2.626122832E-1,9.790233612E0,9.794118327E0
3.341946310E-1,-7.477571070E-2,2.626122832E-1,9.790233612E0,9.794040576E0
3.363424280E-1,-9.870393574E-2,2.578266263E-1,9.799804688E0,9.803692618E0
3.385157580E-1,-7.477571070E-2,2.530409992E-1,9.771091461E0,9.774653421E0
3.406690790E-1,-9.391828626E-2,2.673979402E-1,9.775876999E0,9.779984325E0
3.428301720E-1,-8.434699476E-2,2.530409992E-1,9.804591179E0,9.808218612E0
3.449809390E-1,-9.870393574E-2,2.626122832E-1,9.799804688E0,9.803819643E0
3.471244020E-1,-7.956135273E-2,2.626122832E-1,9.771091461E0,9.774943660E0
3.492733490E-1,-7.477571070E-2,2.578266263E-1,9.790233612E0,9.793913424E0
3.514411140E-1,-7.956135273E-2,2.482553422E-1,9.799804688E0,9.803271527E0
3.536007210E-1,-7.956135273E-2,2.673979402E-1,9.785448074E0,9.789424175E0
3.557622510E-1,-7.956135273E-2,2.578266263E-1,9.780662537E0,9.784383692E0
3.579151550E-1,-7.477571070E-2,2.626122832E-1,9.785448074E0,9.789256899E0
3.600737950E-1,-7.477571070E-2,2.626122832E-1,9.795019150E0,9.798824254E0
3.622299850E-1,-6.520441920E-2,2.578266263E-1,9.795019150E0,9.798628798E0
3.643891040E-1,-6.520441920E-2,2.578266263E-1,9.775876999E0,9.779493713E0
3.665439290E-1,-7.956135273E-2,2.578266263E-1,9.780662537E0,9.784383692E0
3.686950220E-1,-7.477571070E-2,2.578266263E-1,9.775876999E0,9.779562213E0
3.708605300E-1,-6.520441920E-2,2.578266263E-1,9.780662537E0,9.784277482E0
3.730192520E-1,-6.999006122E-2,2.626122832E-1,9.766305923E0,9.770086756E0
3.751770580E-1,-6.041877344E-2,2.673979402E-1,9.780662537E0,9.784503653E0
3.773323330E-1,-7.477571070E-2,2.578266263E-1,9.771091461E0,9.774778479E0
3.794827540E-1,-8.434699476E-2,2.626122832E-1,9.775876999E0,9.779767417E0
3.816348840E-1,-8.434699476E-2,2.673979402E-1,9.780662537E0,9.784680666E0
3.838056810E-1,-7.477571070E-2,2.673979402E-1,9.766305923E0,9.770252016E0
3.859639250E-1,-7.956135273E-2,2.673979402E-1,9.732806206E0,9.736803803E0
3.881230750E-1,-6.999006122E-2,2.769692242E-1,9.756733894E0,9.760915267E0
3.902784200E-1,-7.956135273E-2,2.626122832E-1,9.775876999E0,9.779727313E0
3.924343850E-1,-7.956135273E-2,2.626122832E-1,9.766305923E0,9.770160009E0
3.945929540E-1,-7.477571070E-2,2.578266263E-1,9.747162819E0,9.750858885E0
3.967491940E-1,-8.913264424E-2,2.578266263E-1,9.756733894E0,9.760546884E0
3.989095030E-1,-8.434699476E-2,2.626122832E-1,9.756733894E0,9.760631942E0
4.010708100E-1,-7.477571070E-2,2.673979402E-1,9.751948357E0,9.755900257E0
4.032205600E-1,-7.477571070E-2,2.673979402E-1,9.751948357E0,9.755900257E0
4.053703910E-1,-6.999006122E-2,2.626122832E-1,9.732806206E0,9.736600046E0
4.075358890E-1,-6.520441920E-2,2.673979402E-1,9.751948357E0,9.755831591E0
4.096938880E-1,-8.913264424E-2,2.721835673E-1,9.742377281E0,9.746586254E0
4.118547070E-1,-8.434699476E-2,2.626122832E-1,9.747162819E0,9.751064693E0
4.140090230E-1,-8.913264424E-2,2.626122832E-1,9.751948357E0,9.755890866E0
4.161677250E-1,-8.434699476E-2,2.721835673E-1,9.737591743E0,9.741760173E0
4.183247790E-1,-7.956135273E-2,2.721835673E-1,9.742377281E0,9.746503424E0
4.204821900E-1,-7.477571070E-2,2.530409992E-1,9.747162819E0,9.750733520E0
4.226386330E-1,-7.956135273E-2,2.673979402E-1,9.751948357E0,9.755938111E0
4.247969380E-1,-6.999006122E-2,2.578266263E-1,9.737591743E0,9.741255881E0
4.269535030E-1,-7.537391037E-2,2.673979402E-1,9.708877563E0,9.712851612E0
4.291095200E-1,-6.999006122E-2,2.482553422E-1,9.737591743E0,9.741007252E0
4.312583650E-1,-8.434699476E-2,2.626122832E-1,9.742377281E0,9.746281071E0
4.334251740E-1,-8.434699476E-2,2.673979402E-1,9.747162819E0,9.751194752E0
4.355764500E-1,-5.563312769E-2,2.530409992E-1,9.732806206E0,9.736253973E0
4.377444190E-1,-6.999006122E-2,2.673979402E-1,9.708877563E0,9.712811324E0
4.398984210E-1,-6.520441920E-2,2.673979402E-1,9.723235130E0,9.727129827E0
4.420592590E-1,-6.520441920E-2,2.626122832E-1,9.718449593E0,9.722215761E0
4.442149910E-1,-7.058826834E-2,2.578266263E-1,9.699306488E0,9.702989417E0
4.463794700E-1,-6.520441920E-2,2.673979402E-1,9.723235130E0,9.727129827E0
4.485312040E-1,-6.520441920E-2,2.578266263E-1,9.751948357E0,9.755573942E0
4.507027430E-1,-7.956135273E-2,2.626122832E-1,9.718449593E0,9.722322650E0
4.528585470E-1,-6.999006122E-2,2.721835673E-1,9.713663101E0,9.717727787E0
4.550179810E-1,-7.537391037E-2,2.530409992E-1,9.708877563E0,9.712466963E0
4.571721460E-1,-6.520441920E-2,2.721835673E-1,9.723235130E0,9.727262560E0
4.593288130E-1,-8.015955985E-2,2.626122832E-1,9.713663101E0,9.717542982E0
4.614862740E-1,-8.015955985E-2,2.482553422E-1,9.704689980E0,9.708195706E0
4.636438160E-1,-6.041877344E-2,2.673979402E-1,9.713663101E0,9.717530701E0
4.657974820E-1,-8.434699476E-2,2.578266263E-1,9.718449593E0,9.722234901E0
4.679411080E-1,-6.999006122E-2,2.673979402E-1,9.723235130E0,9.727163084E0
4.700958330E-1,-8.015955985E-2,2.626122832E-1,9.713663101E0,9.717542982E0
4.722740870E-1,-6.999006122E-2,2.673979402E-1,9.718449593E0,9.722379480E0
4.744337340E-1,-7.477571070E-2,2.673979402E-1,9.737591743E0,9.741549468E0
4.765937480E-1,-7.956135273E-2,2.626122832E-1,9.728020668E0,9.731889916E0
4.787442000E-1,-8.494520187E-2,2.673979402E-1,9.708877563E0,9.712930602E0
4.808987820E-1,-7.477571070E-2,2.769692242E-1,9.732806206E0,9.737033429E0
4.830552150E-1,-7.956135273E-2,2.626122832E-1,9.723235130E0,9.727106282E0
4.852339770E-1,-7.477571070E-2,2.673979402E-1,9.723235130E0,9.727198696E0
4.873545630E-1,-7.956135273E-2,2.626122832E-1,9.728020668E0,9.731889916E0
4.895196430E-1,-7.956135273E-2,2.530409992E-1,9.728020668E0,9.731636341E0
4.916584670E-1,-6.041877344E-2,2.721835673E-1,9.742377281E0,9.746365959E0
4.938516230E-1,-8.434699476E-2,2.578266263E-1,9.732806206E0,9.736585933E0
4.960050560E-1,-7.058826834E-2,2.769692242E-1,9.699306488E0,9.703516940E0
4.981698820E-1,-8.913264424E-2,2.673979402E-1,9.718449593E0,9.722536129E0
5.003214940E-1,-9.391828626E-2,2.769692242E-1,9.732806206E0,9.737199250E0
5.024852610E-1,-9.391828626E-2,2.626122832E-1,9.747162819E0,9.751152182E0
5.046378800E-1,-8.434699476E-2,2.721835673E-1,9.747162819E0,9.751327157E0
5.068014340E-1,-8.913264424E-2,2.578266263E-1,9.756733894E0,9.760546884E0
5.089515200E-1,-7.956135273E-2,2.673979402E-1,9.747162819E0,9.751154531E0
5.111028670E-1,-8.434699476E-2,2.530409992E-1,9.742377281E0,9.746027870E0
5.132335130E-1,-9.391828626E-2,2.769692242E-1,9.751948357E0,9.756332782E0
5.153954300E-1,-8.434699476E-2,2.673979402E-1,9.761520386E0,9.765546391E0
5.175628290E-1,-7.956135273E-2,2.626122832E-1,9.756733894E0,9.760591760E0
5.197273790E-1,-8.434699476E-2,2.673979402E-1,9.742377281E0,9.746411194E0
5.218846980E-1,-9.391828626E-2,2.626122832E-1,9.761520386E0,9.765503883E0
5.240392590E-1,-7.956135273E-2,2.626122832E-1,9.766305923E0,9.770160009E0
5.261957040E-1,-8.913264424E-2,2.721835673E-1,9.761520386E0,9.765721108E0
5.283539170E-1,-9.391828626E-2,2.626122832E-1,9.747162819E0,9.751152182E0
5.305107260E-1,-9.870393574E-2,2.673979402E-1,9.780662537E0,9.784814959E0
5.326691840E-1,-8.913264424E-2,2.673979402E-1,9.756733894E0,9.760804402E0
5.348256080E-1,-8.913264424E-2,2.626122832E-1,9.756733894E0,9.760674471E0
5.369844110E-1,-8.434699476E-2,2.578266263E-1,9.747162819E0,9.750936981E0
5.391392580E-1,-8.913264424E-2,2.721835673E-1,9.751948357E0,9.756153201E0
5.412891600E-1,-8.434699476E-2,2.673979402E-1,9.751948357E0,9.755978312E0
5.434528060E-1,-9.391828626E-2,2.673979402E-1,9.771091461E0,9.775200798E0
5.456034610E-1,-6.999006122E-2,2.578266263E-1,9.766305923E0,9.769959292E0
5.477728440E-1,-8.434699476E-2,2.578266263E-1,9.785448074E0,9.789207476E0
5.499288700E-1,-9.870393574E-2,2.530409992E-1,9.780662537E0,9.784433140E0
5.520877150E-1,-8.434699476E-2,2.530409992E-1,9.775876999E0,9.779515083E0
5.542438540E-1,-9.391828626E-2,2.673979402E-1,9.775876999E0,9.779984325E0
5.564002460E-1,-9.870393574E-2,2.578266263E-1,9.785448074E0,9.789341707E0
5.585555300E-1,-9.391828626E-2,2.721835673E-1,9.795019150E0,9.799250210E0
5.607149650E-1,-8.434699476E-2,2.482553422E-1,9.790233612E0,9.793743886E0
5.628730760E-1,-9.391828626E-2,2.721835673E-1,9.775876999E0,9.780116341E0
5.650305770E-1,-9.870393574E-2,2.530409992E-1,9.766305923E0,9.770082067E0
5.671882110E-1,-9.391828626E-2,2.530409992E-1,9.761520386E0,9.765251181E0
5.693447770E-1,-8.913264424E-2,2.626122832E-1,9.775876999E0,9.779809862E0
5.715034590E-1,-7.956135273E-2,2.434697002E-1,9.775876999E0,9.779232005E0
5.736606850E-1,-8.913264424E-2,2.626122832E-1,9.785448074E0,9.789377092E0
5.758180440E-1,-7.956135273E-2,2.578266263E-1,9.785448074E0,9.789167411E0
5.779721280E-1,-8.913264424E-2,2.721835673E-1,9.766305923E0,9.770504588E0
5.801233220E-1,-7.477571070E-2,2.721835673E-1,9.795019150E0,9.799085439E0
5.822892980E-1,-7.477571070E-2,2.626122832E-1,9.775876999E0,9.779689551E0
5.844476840E-1,-7.956135273E-2,2.578266263E-1,9.766305923E0,9.770032547E0
5.866065080E-1,-7.956135273E-2,2.673979402E-1,9.780662537E0,9.784640582E0
5.887614660E-1,-8.434699476E-2,2.626122832E-1,9.790233612E0,9.794118327E0
5.909145130E-1,-8.434699476E-2,2.673979402E-1,9.780662537E0,9.784680666E0
5.930778730E-1,-6.520441920E-2,2.626122832E-1,9.751948357E0,9.755701593E0
5.952339910E-1,-8.913264424E-2,2.721835673E-1,9.751948357E0,9.756153201E0
5.973935780E-1,-6.520441920E-2,2.673979402E-1,9.785448074E0,9.789318020E0
5.995456170E-1,-6.520441920E-2,2.434697002E-1,9.785448074E0,9.788693637E0
6.016945640E-1,-7.477571070E-2,2.578266263E-1,9.775876999E0,9.779562213E0
6.038596940E-1,-8.434699476E-2,2.530409992E-1,9.775876999E0,9.779515083E0
6.060048760E-1,-6.999006122E-2,2.673979402E-1,9.795019150E0,9.798918329E0
6.081802710E-1,-7.477571070E-2,2.626122832E-1,9.785448074E0,9.789256899E0
6.103370310E-1,-8.434699476E-2,2.578266263E-1,9.756733894E0,9.760504355E0
6.124976550E-1,-6.999006122E-2,2.626122832E-1,9.756733894E0,9.760518434E0
6.146591240E-1,-6.999006122E-2,2.769692242E-1,9.771091461E0,9.775266692E0
6.168382930E-1,-6.999006122E-2,2.578266263E-1,9.804591179E0,9.808230287E0
6.189834250E-1,-7.956135273E-2,2.626122832E-1,9.775876999E0,9.779727313E0
6.211397670E-1,-7.956135273E-2,2.530409992E-1,9.756733894E0,9.760338931E0
6.232891300E-1,-8.434699476E-2,2.673979402E-1,9.771091461E0,9.775113524E0
6.254416470E-1,-6.999006122E-2,2.721835673E-1,9.761520386E0,9.765565152E0
6.276098800E-1,-7.477571070E-2,2.578266263E-1,9.771091461E0,9.774778479E0
6.297630690E-1,-6.999006122E-2,2.482553422E-1,9.742377281E0,9.745791113E0
6.319144870E-1,-6.520441920E-2,2.721835673E-1,9.771091461E0,9.775099174E0
6.340771970E-1,-7.956135273E-2,2.673979402E-1,9.756733894E0,9.760721692E0
6.362240170E-1,-6.520441920E-2,2.673979402E-1,9.751948357E0,9.755831591E0
6.383994840E-1,-6.999006122E-2,2.626122832E-1,9.756733894E0,9.760518434E0
6.405562530E-1,-7.956135273E-2,2.721835673E-1,9.795019150E0,9.799123126E0
6.427210980E-1,-6.520441920E-2,2.721835673E-1,9.732806206E0,9.736829677E0
6.448694960E-1,-6.999006122E-2,2.626122832E-1,9.742377281E0,9.746167396E0
6.470270280E-1,-7.477571070E-2,2.626122832E-1,9.747162819E0,9.750986598E0
6.491842340E-1,-7.477571070E-2,2.530409992E-1,9.756733894E0,9.760301094E0
6.513406770E-1,-7.956135273E-2,2.578266263E-1,9.737591743E0,9.741329352E0
6.534991550E-1,-6.999006122E-2,2.721835673E-1,9.732806206E0,9.736862900E0
6.556518960E-1,-5.084748194E-2,2.626122832E-1,9.732806206E0,9.736481259E0
6.577964990E-1,-6.999006122E-2,2.626122832E-1,9.756733894E0,9.760518434E0
6.599524030E-1,-7.477571070E-2,2.673979402E-1,9.732806206E0,9.736765875E0
6.621289170E-1,-7.956135273E-2,2.769692242E-1,9.737591743E0,9.741854799E0
6.642886260E-1,-7.477571070E-2,2.626122832E-1,9.732806206E0,9.736635623E0
6.664422830E-1,-7.956135273E-2,2.673979402E-1,9.742377281E0,9.746370953E0
6.685766720E-1,-7.956135273E-2,2.865405083E-1,9.728020668E0,9.732565006E0
6.707587400E-1,-6.520441920E-2,2.673979402E-1,9.723235130E0,9.727129827E0
6.729151330E-1,-5.563312769E-2,2.817548811E-1,9.756733894E0,9.760959847E0
6.750762360E-1,-7.477571070E-2,2.578266263E-1,9.742377281E0,9.746075162E0
6.772193940E-1,-6.999006122E-2,2.626122832E-1,9.728020668E0,9.731816374E0
6.793941270E-1,-6.999006122E-2,2.626122832E-1,9.732806206E0,9.736600046E0
