"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.027097820E-1,-6.879365444E-2,9.902098656E0,1.695314884E0,1.004641144E1
3.048778110E-1,-4.486542568E-2,9.902098656E0,1.685743570E0,1.004466535E1
3.070355260E-1,-3.050848842E-2,9.892526627E0,1.700100541E0,1.003759711E1
3.091957750E-1,-1.794616925E-3,9.878170013E0,1.700100541E0,1.002340201E1
3.113474170E-1,2.691925503E-2,9.878170013E0,1.689931035E0,1.002171813E1
3.134957720E-1,5.084748194E-2,9.873384476E0,1.689931035E0,1.001709406E1
3.156664060E-1,6.999006122E-2,9.906884193E0,1.694716692E0,1.005103565E1
3.178230130E-1,9.391828626E-2,9.902098656E0,1.675574064E0,1.004330259E1
3.199844820E-1,1.226321608E-1,9.930811882E0,1.660618901E0,1.006944479E1
3.221299580E-1,1.609173268E-1,9.940383911E0,1.670190215E0,1.008100501E1
3.242645510E-1,2.087737769E-1,9.963713646E0,1.664806366E0,1.010399705E1
3.264527320E-1,2.285145670E-1,9.926026344E0,1.717448473E0,1.007610278E1
3.286101930E-1,2.524427772E-1,9.873384476E0,1.741376638E0,1.002895014E1
3.307759350E-1,2.955136001E-1,9.806385040E0,1.741376638E0,9.964181273E0
3.329239750E-1,3.182454109E-1,9.634700775E0,1.593619823E0,9.770791335E0
3.350694520E-1,2.877369225E-1,9.361918449E0,1.179661512E0,9.440334256E0
3.372378180E-1,1.160518974E-1,8.922237396E0,4.336991012E-1,8.933525794E0
3.393969170E-1,-1.471585929E-1,8.592027664E0,-4.935196638E-1,8.607447746E0
3.415580910E-1,-3.314059377E-1,8.605786324E0,-1.026520967E0,8.673127085E0
3.437129570E-1,-3.445664644E-1,8.758927345E0,-7.692924738E-1,8.799394593E0
3.458698780E-1,-2.452643216E-1,8.873783112E0,6.400800496E-2,8.877402679E0
3.480276740E-1,-1.447657645E-1,8.836095810E0,9.930213690E-1,8.892898162E0
3.501858770E-1,-6.101697683E-2,8.774480820E0,1.602592945E0,8.919839734E0
3.523426660E-1,2.213360928E-2,8.740981102E0,1.907677889E0,8.946757818E0
3.545014790E-1,2.213360928E-2,8.803194046E0,1.950150490E0,9.016640297E0
3.566563770E-1,5.563312769E-2,8.937192917E0,1.878365755E0,9.132621211E0
3.588123020E-1,5.563312769E-2,9.094520569E0,1.820339799E0,9.275076086E0
3.609717560E-1,3.649054468E-2,9.242876053E0,1.829911113E0,9.422349175E0
3.631296240E-1,-2.512463741E-2,9.409774780E0,1.944168448E0,9.608552629E0
3.652880090E-1,-7.238288224E-2,9.562915802E0,2.096710920E0,9.790341904E0
3.674394690E-1,-1.142572835E-1,9.692128181E0,2.239681959E0,9.948194745E0
3.695775510E-1,-1.423729509E-1,9.859027863E0,2.353939295E0,1.013714608E1
3.717605340E-1,-1.328016520E-1,9.983454704E0,2.386840582E0,1.026567154E1
3.739167940E-1,-1.328016520E-1,1.009292603E1,2.414956331E0,1.037867073E1
3.760806940E-1,-7.956135273E-2,1.015035343E1,2.433500528E0,1.043829151E1
3.782304240E-1,-4.127619043E-2,1.020778179E1,2.462214470E0,1.050061964E1
3.803840700E-1,2.632104978E-2,1.025085258E1,2.485544443E0,1.054791935E1
3.825470640E-1,1.172483116E-1,1.026999474E1,2.508276224E0,1.057251099E1
3.847053180E-1,1.986042857E-1,1.030827999E1,2.541177750E0,1.061874119E1
3.868633480E-1,2.997010350E-1,1.035613632E1,2.564507723E0,1.067314762E1
3.890203000E-1,3.954139352E-1,1.042313576E1,2.573480844E0,1.074341263E1
3.911763980E-1,4.624129832E-1,1.045184898E1,2.572882652E0,1.077379683E1
3.933344780E-1,5.300102234E-1,1.047577763E1,2.610569477E0,1.080915819E1
3.954912980E-1,5.730810165E-1,1.047099209E1,2.605783939E0,1.080556371E1
3.976491960E-1,5.778666735E-1,1.043749237E1,2.615355253E0,1.077567910E1
3.998039000E-1,5.294120312E-1,1.038006496E1,2.572882652E0,1.070727561E1
4.019504860E-1,4.618147612E-1,1.029392338E1,2.444268227E0,1.059021145E1
4.041064920E-1,3.409772217E-1,1.016949654E1,2.230708838E0,1.041686072E1
4.062609720E-1,1.722832322E-1,1.002652550E1,1.998605132E0,1.022522946E1
4.084334170E-1,3.589233849E-3,9.902098656E0,1.785643935E0,1.006181370E1
4.105905110E-1,-1.794617027E-1,9.825528145E0,1.591227055E0,9.955160138E0
4.127513690E-1,-3.332005441E-1,9.763314247E0,1.482951880E0,9.880914632E0
4.149167650E-1,-4.486542344E-1,9.710672379E0,1.426122308E0,9.825083893E0
4.170663720E-1,-5.252245665E-1,9.725028992E0,1.417149186E0,9.841766180E0
4.192252670E-1,-5.730810165E-1,9.753145218E0,1.455434322E0,9.877780751E0
4.213794320E-1,-5.682953596E-1,9.801001549E0,1.488933921E0,9.929728858E0
4.235329350E-1,-5.108676553E-1,9.853643417E0,1.483550072E0,9.977785084E0
4.256684840E-1,-4.821537733E-1,9.911071777E0,1.392622828E0,1.002004064E1
4.278536350E-1,-4.253242314E-1,9.968499184E0,1.301695466E0,1.006212143E1
4.300108410E-1,-3.200400174E-1,1.006839943E1,1.224527001E0,1.014763810E1
4.321754310E-1,-2.099701911E-1,1.014496994E1,1.233500123E0,1.022184059E1
4.343208780E-1,-9.930214286E-2,1.022154045E1,1.294517040E0,1.030366558E1
4.364668850E-1,2.093719877E-2,1.023589706E1,1.398604870E0,1.033102718E1
4.386559630E-1,1.363908947E-1,1.022154045E1,1.488335729E0,1.033022918E1
4.407995280E-1,2.374876440E-1,1.014078236E1,1.545165181E0,1.026057516E1
4.429609750E-1,3.188436031E-1,1.003549862E1,1.587637782E0,1.016530804E1
4.451105520E-1,3.858426511E-1,9.935597420E0,1.616351724E0,1.007360728E1
4.472743500E-1,4.193421602E-1,9.835099220E0,1.606780410E0,9.974305380E0
4.494285360E-1,4.432703853E-1,9.777671814E0,1.606780410E0,9.918724617E0
4.515860880E-1,4.426721931E-1,9.725028992E0,1.535593987E0,9.855465309E0
4.537433850E-1,4.235295951E-1,9.696315765E0,1.526022673E0,9.824798315E0
4.558976010E-1,3.996013701E-1,9.620343208E0,1.550549030E0,9.752686143E0
4.580461500E-1,3.852444589E-1,9.543772697E0,1.607976794E0,9.685948584E0
4.602153200E-1,3.571287692E-1,9.495916367E0,1.698904037E0,9.653302208E0
4.623730640E-1,3.194418252E-1,9.491130829E0,1.813161373E0,9.668048493E0
4.645334850E-1,3.056831062E-1,9.505488396E0,1.946561217E0,9.707566759E0
4.666846800E-1,3.068794906E-1,9.458230019E0,2.294716835E0,9.737454260E0
4.688328120E-1,2.979064286E-1,9.191430092E0,3.501297712E0,9.840234806E0
4.710050740E-1,2.829512656E-1,9.219545364E0,3.406183004E0,9.832708722E0
4.731609780E-1,2.410768867E-1,9.396016121E0,2.566900492E0,9.743316435E0
4.753222020E-1,2.141576260E-1,9.553344727E0,1.904088616E0,9.743603667E0
4.774748820E-1,1.746760458E-1,9.620343208E0,1.589432478E0,9.752323352E0
4.796330960E-1,1.698904037E-1,9.601201057E0,1.532602906E0,9.724237562E0
4.817903720E-1,1.507478207E-1,9.548559189E0,1.561316729E0,9.676539537E0
4.839477520E-1,1.310070455E-1,9.538987160E0,1.533201098E0,9.662305340E0
4.861054670E-1,8.733802289E-2,9.547960281E0,1.313659668E0,9.638302506E0
4.882626530E-1,-2.374876440E-1,9.952945709E0,-5.682953596E-1,9.971985173E0
4.904129420E-1,-2.973082066E-1,9.876375198E0,-1.049252748E0,9.936403301E0
4.925660170E-1,-2.177468538E-1,9.742975235E0,-4.911268353E-1,9.757775653E0
4.947347700E-1,-1.196411327E-1,9.566504478E0,1.184447184E-1,9.567985738E0
4.968934720E-1,7.896314561E-2,9.399605751E0,5.563312769E-1,9.416386140E0
4.990528860E-1,2.769692242E-1,9.261420250E0,9.320043921E-1,9.312317068E0
5.012107740E-1,4.175475538E-1,9.262018204E0,1.345962763E0,9.368614782E0
5.033784980E-1,6.155536175E-1,9.285946846E0,1.731207132E0,9.465980838E0
5.055234670E-1,7.615157962E-1,9.319445610E0,2.111067772E0,9.585853114E0
5.076801340E-1,8.111668825E-1,9.363115311E0,2.482553482E0,9.720544832E0
5.098350510E-1,8.889335990E-1,9.391828537E0,2.791825771E0,9.838238529E0
5.119933460E-1,9.810572863E-1,9.415757179E0,3.034697294E0,9.941244606E0
5.141416410E-1,8.249256015E-1,9.497113228E0,3.369094372E0,1.011071010E1
5.162831210E-1,5.736792088E-1,9.196215630E0,4.095914364E0,1.008345200E1
5.184513140E-1,2.069791555E-1,9.272786140E0,4.502694130E0,1.031026952E1
5.206097510E-1,1.202393398E-1,9.440283775E0,4.345963955E0,1.039330640E1
5.227708110E-1,5.682953820E-2,9.501898766E0,4.083950043E0,1.034253149E1
5.249181410E-1,4.606183618E-2,9.492327690E0,3.812364578E0,1.022939540E1
5.270850830E-1,2.093719877E-2,9.434899330E0,3.602394581E0,1.009925792E1
5.292420340E-1,-3.589233849E-3,9.358329773E0,3.469592810E0,9.980802738E0
5.314049580E-1,2.452643216E-2,9.300901413E0,3.364906788E0,9.890903211E0
5.335561520E-1,1.489532143E-1,9.286544800E0,3.378067255E0,9.882987390E0
5.357138770E-1,1.435693651E-1,9.267401695E0,3.268595695E0,9.827973553E0
5.378709000E-1,1.429711580E-1,9.257830620E0,3.068196774E0,9.754060692E0
5.400308320E-1,1.854437590E-1,9.320044518E0,2.891726255E0,9.760107578E0
5.421840710E-1,2.225325108E-1,9.405587196E0,2.709871531E0,9.790709624E0
5.443298640E-1,2.793620527E-1,9.506086349E0,2.542972326E0,9.844309478E0
5.464810680E-1,3.314059377E-1,9.601201057E0,2.365903378E0,9.893957269E0
5.486587420E-1,3.690928817E-1,9.677771568E0,2.179263115E0,9.926967302E0
5.508183390E-1,3.870390654E-1,9.687342644E0,1.955534339E0,9.890324630E0
5.529785150E-1,4.199403822E-1,9.663414001E0,1.783849239E0,9.835651387E0
5.551295670E-1,4.283152521E-1,9.605986595E0,1.588235974E0,9.745815817E0
5.572822880E-1,4.229314029E-1,9.548559189E0,1.388435364E0,9.658240332E0
5.594465240E-1,4.121637046E-1,9.467203140E0,1.183250785E0,9.549758983E0
5.616043900E-1,3.397808075E-1,9.309276581E0,1.055832982E0,9.375119452E0
5.637624300E-1,2.817548811E-1,9.142376900E0,9.421738982E-1,9.195114618E0
5.659183150E-1,2.805584669E-1,9.037093163E0,7.848458290E-1,9.075447584E0
5.680755920E-1,2.847459018E-1,8.984451294E0,6.323033571E-1,9.011173776E0
5.702335310E-1,2.697907388E-1,8.970093727E0,5.180460811E-1,8.989090068E0
5.723910630E-1,2.835494876E-1,8.989236832E0,4.133601189E-1,9.003201970E0
5.745492860E-1,3.074777126E-1,9.026923180E0,3.224328458E-1,9.037911682E0
5.767059640E-1,3.020938635E-1,9.079565048E0,2.410768867E-1,9.087787422E0
5.788642180E-1,2.877369225E-1,9.136993408E0,1.698904037E-1,9.143101434E0
5.810204880E-1,2.967100143E-1,9.175278664E0,1.076770201E-1,9.180706385E0
5.831781010E-1,3.391826153E-1,9.203991890E0,-4.546362907E-2,9.210351703E0
5.853352360E-1,3.146561682E-1,9.236893654E0,-1.357926875E-1,9.243249025E0
5.874929110E-1,2.572284341E-1,9.284749985E0,-1.639083475E-1,9.289758592E0
5.896482040E-1,2.189432681E-1,9.351749420E0,-1.639083475E-1,9.355747929E0
5.917990010E-1,1.902294010E-1,9.466604233E0,-1.692921966E-1,9.470028657E0
5.939657500E-1,1.567298770E-1,9.600004196E0,-1.740778536E-1,9.602861444E0
5.961239030E-1,1.238285750E-1,9.714859962E0,-1.597209126E-1,9.716961890E0
5.982826150E-1,9.511470050E-2,9.805189133E0,-1.884347796E-1,9.807460854E0
6.004395160E-1,8.554340899E-2,9.881759644E0,-1.980060786E-1,9.884113402E0
6.026020820E-1,6.101697683E-2,9.943972588E0,-2.219343036E-1,9.946636051E0
6.047528490E-1,3.230310604E-2,9.987043381E0,-2.458625287E-1,9.990121489E0
6.069110010E-1,3.230310604E-2,1.003011417E1,-2.506481707E-1,1.003329748E1
6.090679940E-1,1.794617064E-2,1.009172916E1,-2.841476798E-1,1.009574462E1
6.112253340E-1,2.751746029E-2,1.014915752E1,-3.080759048E-1,1.015386953E1
6.133836580E-1,1.316052489E-2,1.015394306E1,-3.266202807E-1,1.015920340E1
6.155450860E-1,8.374879137E-3,1.017787075E1,-3.409772217E-1,1.018358427E1
6.177154660E-1,7.776673418E-3,1.017308521E1,-3.984049559E-1,1.018088649E1
6.198455110E-1,7.776673418E-3,1.017787075E1,-4.079762697E-1,1.018604723E1
6.220254530E-1,7.776673418E-3,1.018265629E1,-4.414757788E-1,1.019222500E1
6.241683980E-1,2.691925503E-2,1.016829967E1,-4.701896608E-1,1.017920042E1
6.263483090E-1,4.127619043E-2,1.017308521E1,-4.893322289E-1,1.018493066E1
6.285027070E-1,5.563312769E-2,1.019222832E1,-5.084748268E-1,1.020505560E1
6.306774720E-1,6.999006122E-2,1.019222832E1,-5.036891699E-1,1.020490664E1
6.328094400E-1,9.870393574E-2,1.023529911E1,-4.899304509E-1,1.024749346E1
6.349579890E-1,1.226321608E-1,1.028315544E1,-4.660021961E-1,1.029443940E1
6.371233030E-1,1.615155339E-1,1.034955597E1,-4.474578202E-1,1.036048332E1
6.392853830E-1,3.708875179E-2,1.056490993E1,-3.708875179E-1,1.057148311E1
6.414464340E-1,-4.558327198E-1,1.095613670E1,-3.308077157E-1,1.097060384E1
6.436044220E-1,3.340380430E0,8.449654579E0,-4.755735099E-1,9.098405030E0
6.457673150E-1,-2.465205431E0,1.269930840E1,-1.136590764E-1,1.293686940E1
6.479010740E-1,2.057827413E-1,1.056969547E1,-1.860419661E-1,1.057333536E1
6.500627770E-1,8.907282352E-1,1.004447079E1,-1.555334777E-1,1.008508705E1
6.522182120E-1,3.116651475E-1,1.040279675E1,-7.178468257E-2,1.040771196E1
6.543728970E-1,1.974078640E-2,1.046441174E1,5.383851007E-2,1.046456885E1
6.565293500E-1,6.819544733E-2,1.032144070E1,2.015953064E-1,1.032363450E1
6.586893240E-1,1.788634956E-1,1.019761181E1,3.152543902E-1,1.020405136E1
6.608369670E-1,1.555334777E-1,1.016889763E1,4.492524564E-1,1.018000478E1
6.630204690E-1,1.034895778E-1,1.017368412E1,5.970092416E-1,1.019171127E1
6.651784900E-1,2.093719840E-1,1.005882835E1,7.351947427E-1,1.008783306E1
6.673333360E-1,2.291127741E-1,1.003549862E1,8.398807645E-1,1.007318842E1
6.694675630E-1,1.381855011E-1,1.006421185E1,9.164510965E-1,1.010679662E1
6.716494260E-1,2.249253243E-1,9.958928108E0,1.040279627E0,1.001563888E1
6.738138650E-1,2.590230405E-1,9.868000984E0,1.107278705E0,9.933307732E0
6.759682850E-1,1.776670814E-1,9.825528145E0,1.212562919E0,9.901660353E0
6.781217480E-1,1.830509305E-1,9.705886841E0,1.274776220E0,9.790955082E0
6.802749770E-1,2.500499785E-1,9.605388641E0,1.355534077E0,9.703787332E0
6.824357730E-1,1.980060786E-1,9.610174179E0,1.436890006E0,9.719017803E0
6.845914840E-1,1.980060786E-1,9.619745255E0,1.513460279E0,9.740085584E0
6.867495350E-1,2.703889608E-1,9.572486877E0,1.579861164E0,9.705749662E0
6.889066700E-1,2.560320199E-1,9.538987160E0,1.642074585E0,9.682677180E0
6.910644060E-1,2.039881349E-1,9.548559189E0,1.733001828E0,9.706693004E0
6.932220080E-1,2.620140910E-1,9.529416084E0,1.804188251E0,9.702242913E0
6.953804250E-1,2.667997181E-1,9.538987160E0,1.861017823E0,9.722491731E0
6.975371940E-1,2.141576260E-1,9.658628464E0,1.889731646E0,9.844087209E0
6.996969740E-1,2.482553422E-1,9.734601021E0,1.936989903E0,9.928545595E0
7.018547500E-1,2.865405083E-1,9.772886276E0,1.993819475E0,9.978312870E0
7.039966880E-1,2.632105052E-1,9.835099220E0,2.036890268E0,1.004725726E1
7.061665390E-1,2.584248483E-1,9.849455833E0,2.036890268E0,1.006118709E1
7.083226560E-1,3.110669553E-1,9.820742607E0,2.041077614E0,1.003542455E1
7.104863320E-1,2.823530734E-1,9.859027863E0,2.036890268E0,1.007120031E1
7.126438530E-1,2.823530734E-1,9.892526627E0,1.993819475E0,1.009540105E1
7.147909480E-1,3.104687333E-1,9.873384476E0,1.960319996E0,1.007089700E1
7.169550320E-1,3.152543902E-1,9.902098656E0,1.931606054E0,1.009366361E1
